City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sechura,PE,75.16,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
1,Rong Kwang,TH,79.45,overcast clouds,18.339,100.3174,Rong Kwang Hotel
2,Puerto Ayora,EC,74.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
4,Jamestown,US,60.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
6,Kavieng,PG,83.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
7,Pemangkat,ID,78.51,overcast clouds,1.1667,108.9667,Ramah Kost KITA
8,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Darnah,LY,62.98,broken clouds,32.767,22.6367,فندق الفردوس
10,Lompoc,US,77.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
11,Bredasdorp,ZA,54.86,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
13,Arraial Do Cabo,BR,74.1,light rain,-22.9661,-42.0278,Pousada Porto Praia
14,Jamsa,FI,36.32,overcast clouds,61.8642,25.19,Motel Patalahti
15,Rikitea,PF,75.97,moderate rain,-23.1203,-134.9692,People ThankYou
16,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Nordhausen,DE,51.21,overcast clouds,51.5167,10.8,Hotel Nordhausen
18,Great Falls,US,56.66,broken clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
19,Narsaq,GL,50.22,scattered clouds,60.9167,-46.05,Sleep In Narsaq
20,Sevnica,SI,53.65,overcast clouds,46.0078,15.3156,Neokrnjena Narava
21,Bluff,NZ,57.79,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Yulara,AU,58.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
23,Upernavik,GL,9.81,scattered clouds,72.7868,-56.1549,Café de Upernavik
24,Hasaki,JP,57.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
25,Talcahuano,CL,53.28,clear sky,-36.7167,-73.1167,departamento comodo
27,Busselton,AU,54.77,clear sky,-33.65,115.3333,Observatory Guest House
28,Cherskiy,RU,20.39,overcast clouds,68.75,161.3,Gostinitsa
31,Bluefield,US,63.36,broken clouds,37.2698,-81.2223,Economy Inn
32,Saint Anthony,US,52.66,moderate rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
33,Hermanus,ZA,57.87,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Butaritari,KI,81.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
35,Ushuaia,AR,38.86,few clouds,-54.8,-68.3,Albatross Hotel
36,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Kaeo,NZ,65.32,broken clouds,-35.1,173.7833,Bushido Lodge
38,Hambantota,LK,80.98,overcast clouds,6.1241,81.1185,Bungalow 63
39,Tautira,PF,80.04,light rain,-17.7333,-149.15,Pension Oaoa
40,Sorland,NO,38.28,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
41,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Churapcha,RU,34.3,few clouds,62.0025,132.4325,"""Tusku"""
44,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Namibe,AO,74.66,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
46,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Hobart,AU,61.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
49,Houma,US,84.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
50,Jakar,BT,48.43,overcast clouds,27.5492,90.7525,Wangchuk Lodge Bumthang དབང་ཕྱུག་ཟ་ཁང་ བུམ་ཐང་།
51,Launceston,AU,59.81,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
53,Lata,PT,52.34,clear sky,40.1629,-8.3327,Casa Maquia
54,Chaozhou,CN,67.86,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
55,Meulaboh,ID,78.01,moderate rain,4.1363,96.1285,Kost Pria
56,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
57,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
58,Qaanaaq,GL,10.83,broken clouds,77.484,-69.3632,Qaanaaq Hotel
59,Yellowknife,CA,35.56,clear sky,62.456,-114.3525,The Explorer Hotel
60,Huarmey,PE,68.5,broken clouds,-10.0681,-78.1522,Hotel Miramar
61,Torbay,CA,43.75,light rain,47.6666,-52.7314,Gallows Cove
62,Carutapera,BR,75.51,scattered clouds,-1.195,-46.02,Lidera
63,Ende,ID,78.67,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
64,Teberda,RU,45.23,broken clouds,43.4456,41.7448,U Ally Hotel
65,Tiksi,RU,33.57,overcast clouds,71.6872,128.8694,Arktika
66,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
67,Itaituba,BR,75.07,scattered clouds,-4.2761,-55.9836,Hotel Campos
68,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Roma,US,57.38,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
70,Gat,IL,65.8,scattered clouds,31.61,34.7642,OlusHome
71,Thompson,CA,39.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
72,Sitka,US,49.89,scattered clouds,57.0531,-135.33,Westmark Sitka
73,Nemuro,JP,40.21,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
74,Port Alfred,ZA,59.63,clear sky,-33.5906,26.891,The Halyards Hotel
75,Whitehorse,CA,48.97,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
76,Garissa,KE,78.58,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
77,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
78,Punta Arenas,CL,41.11,overcast clouds,-53.15,-70.9167,Hotel Hain
79,Bengkulu,ID,74.84,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
80,Vila Franca Do Campo,PT,64.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
81,Kaitangata,NZ,57.81,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
83,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
84,Nanortalik,GL,36.45,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
85,Tuktoyaktuk,CA,35.6,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
86,East London,ZA,61.97,clear sky,-33.0153,27.9116,Tu Casa
87,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
88,Harper,LR,80.8,overcast clouds,4.375,-7.7169,Screensaver
89,Tasiilaq,GL,33.96,scattered clouds,65.6145,-37.6368,The Red House
90,Palencia,ES,53.92,overcast clouds,42.4167,-4.5,Hotel Area de Servicio Los Chopos
91,Balkhash,KZ,59.04,clear sky,46.844,74.9804,Family
92,Uvira,CD,70.54,light rain,-3.4067,29.1458,Hotel Suzana
93,Menzelinsk,RU,40.53,overcast clouds,55.7271,53.1026,Odzun
94,Inirida,CO,72.55,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
95,Sola,VU,81.72,overcast clouds,-13.8833,167.55,Leumerus Bungalows
96,Veraval,IN,81.57,clear sky,20.9,70.3667,Lords Inn Somnath
97,Geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
98,Norman Wells,CA,48.24,clear sky,65.282,-126.8329,Heritage Hotel
99,Constitucion,CL,53.47,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
