City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sechura,PE,-5.5569,-80.8222,75.16,63,93,17.98,overcast clouds
1,Rong Kwang,TH,18.339,100.3174,79.45,84,100,1.86,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,74.25,83,62,7.4,broken clouds
3,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,0,10.36,clear sky
4,Jamestown,US,42.097,-79.2353,60.44,25,0,8.05,clear sky
5,Georgetown,MY,5.4112,100.3354,82.33,92,20,2.3,few clouds
6,Kavieng,PG,-2.5744,150.7967,83.73,69,93,1.5,overcast clouds
7,Pemangkat,ID,1.1667,108.9667,78.51,85,100,4.03,overcast clouds
8,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,scattered clouds
9,Darnah,LY,32.767,22.6367,62.98,64,53,8.59,broken clouds
10,Lompoc,US,34.6391,-120.4579,77.77,67,0,28.77,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,54.86,90,29,5.17,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,57.47,73,100,3.71,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,74.1,86,98,12.71,light rain
14,Jamsa,FI,61.8642,25.19,36.32,93,99,4.47,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,75.97,75,68,10.67,moderate rain
16,Hilo,US,19.7297,-155.09,79.29,83,100,6.91,overcast clouds
17,Nordhausen,DE,51.5167,10.8,51.21,72,89,3.94,overcast clouds
18,Great Falls,US,47.5002,-111.3008,56.66,36,75,13.8,broken clouds
19,Narsaq,GL,60.9167,-46.05,50.22,73,40,0.58,scattered clouds
20,Sevnica,SI,46.0078,15.3156,53.65,76,88,2.1,overcast clouds
21,Bluff,NZ,-46.6,168.3333,57.79,89,100,11.05,moderate rain
22,Yulara,AU,-25.2406,130.9889,58.84,72,100,8.05,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,9.81,78,35,4.45,scattered clouds
24,Hasaki,JP,35.7333,140.8333,57.6,63,100,16.26,overcast clouds
25,Talcahuano,CL,-36.7167,-73.1167,53.28,76,0,8.05,clear sky
26,Albany,US,42.6001,-73.9662,57.72,58,79,8.21,broken clouds
27,Busselton,AU,-33.65,115.3333,54.77,87,0,5.32,clear sky
28,Cherskiy,RU,68.75,161.3,20.39,83,91,8.25,overcast clouds
29,Gari,RU,59.4307,62.3497,30.79,65,47,7.29,scattered clouds
30,Chokurdakh,RU,70.6333,147.9167,19.06,91,59,8.63,broken clouds
31,Bluefield,US,37.2698,-81.2223,63.36,68,75,5.75,broken clouds
32,Saint Anthony,US,45.0205,-93.218,52.66,89,100,14.97,moderate rain
33,Hermanus,ZA,-34.4187,19.2345,57.87,86,44,4.09,scattered clouds
34,Butaritari,KI,3.0707,172.7902,81.0,81,78,13.53,broken clouds
35,Ushuaia,AR,-54.8,-68.3,38.86,70,20,4.61,few clouds
36,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
37,Kaeo,NZ,-35.1,173.7833,65.32,90,65,7.9,broken clouds
38,Hambantota,LK,6.1241,81.1185,80.98,85,100,13.96,overcast clouds
39,Tautira,PF,-17.7333,-149.15,80.04,74,35,13.31,light rain
40,Sorland,NO,67.667,12.6934,38.28,68,63,12.86,broken clouds
41,Carnarvon,AU,-24.8667,113.6333,62.67,59,0,5.75,clear sky
42,Churapcha,RU,62.0025,132.4325,34.3,76,22,5.37,few clouds
43,Kysyl-Syr,RU,63.8986,122.7617,34.34,98,100,9.57,overcast clouds
44,Mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
45,Namibe,AO,-15.1961,12.1522,74.66,83,24,7.02,few clouds
46,Kapaa,US,22.0752,-159.319,82.38,76,40,18.41,scattered clouds
47,Hobart,AU,-42.8794,147.3294,61.05,55,40,14.97,scattered clouds
48,Tadine,NC,-21.55,167.8833,76.41,84,100,18.25,overcast clouds
49,Houma,US,29.5958,-90.7195,84.2,65,0,7.0,clear sky
50,Jakar,BT,27.5492,90.7525,48.43,94,100,1.88,overcast clouds
51,Launceston,AU,-41.45,147.1667,59.81,84,98,13.8,light rain
52,Yakima,US,46.4665,-120.6678,55.33,78,100,1.99,overcast clouds
53,Lata,PT,40.1629,-8.3327,52.34,87,0,2.04,clear sky
54,Chaozhou,CN,23.6651,116.6379,67.86,93,100,2.35,overcast clouds
55,Meulaboh,ID,4.1363,96.1285,78.01,88,99,3.49,moderate rain
56,San Cristobal,VE,7.7669,-72.225,77.18,97,99,5.19,overcast clouds
57,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
58,Qaanaaq,GL,77.484,-69.3632,10.83,79,66,3.83,broken clouds
59,Yellowknife,CA,62.456,-114.3525,35.56,60,0,8.05,clear sky
60,Huarmey,PE,-10.0681,-78.1522,68.5,83,78,10.31,broken clouds
61,Torbay,CA,47.6666,-52.7314,43.75,96,100,8.05,light rain
62,Carutapera,BR,-1.195,-46.02,75.51,94,31,4.94,scattered clouds
63,Ende,ID,-8.8432,121.6623,78.67,87,94,2.15,overcast clouds
64,Teberda,RU,43.4456,41.7448,45.23,89,77,5.14,broken clouds
65,Tiksi,RU,71.6872,128.8694,33.57,95,100,12.1,overcast clouds
66,Buraydah,SA,26.326,43.975,77.45,37,2,11.18,clear sky
67,Itaituba,BR,-4.2761,-55.9836,75.07,97,47,0.76,scattered clouds
68,Faanui,PF,-16.4833,-151.75,81.28,72,12,14.03,light rain
69,Roma,US,43.2128,-75.4557,57.38,34,0,9.22,clear sky
70,Gat,IL,31.61,34.7642,65.8,100,25,11.68,scattered clouds
71,Thompson,CA,55.7435,-97.8558,39.36,60,100,11.5,overcast clouds
72,Sitka,US,57.0531,-135.33,49.89,62,40,3.44,scattered clouds
73,Nemuro,JP,43.3236,145.575,40.21,57,97,4.97,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,59.63,83,6,13.06,clear sky
75,Whitehorse,CA,60.7161,-135.0538,48.97,34,75,17.27,broken clouds
76,Garissa,KE,-0.4536,39.6401,78.58,79,82,16.98,broken clouds
77,Makakilo City,US,21.3469,-158.0858,82.72,55,20,20.71,few clouds
78,Punta Arenas,CL,-53.15,-70.9167,41.11,80,87,6.87,overcast clouds
79,Bengkulu,ID,-3.8004,102.2655,74.84,93,94,5.64,moderate rain
80,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,86,20,2.59,few clouds
81,Kaitangata,NZ,-46.2817,169.8464,57.81,71,100,2.53,moderate rain
82,Dikson,RU,73.5069,80.5464,17.44,94,100,17.16,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,60.91,84,0,7.0,clear sky
84,Nanortalik,GL,60.1432,-45.2371,36.45,88,99,3.02,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,40,9.22,scattered clouds
86,East London,ZA,-33.0153,27.9116,61.97,70,2,11.99,clear sky
87,Mount Isa,AU,-20.7333,139.5,76.77,61,39,8.05,scattered clouds
88,Harper,LR,4.375,-7.7169,80.8,80,99,6.71,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,33.96,68,32,2.46,scattered clouds
90,Palencia,ES,42.4167,-4.5,53.92,73,98,6.78,overcast clouds
91,Balkhash,KZ,46.844,74.9804,59.04,47,2,1.95,clear sky
92,Uvira,CD,-3.4067,29.1458,70.54,87,90,2.17,light rain
93,Menzelinsk,RU,55.7271,53.1026,40.53,76,98,3.65,overcast clouds
94,Inirida,CO,3.8653,-67.9239,72.55,97,98,3.13,overcast clouds
95,Sola,VU,-13.8833,167.55,81.72,69,99,1.77,overcast clouds
96,Veraval,IN,20.9,70.3667,81.57,87,1,9.69,clear sky
97,Geraldton,AU,-28.7667,114.6,54.01,76,0,11.5,clear sky
98,Norman Wells,CA,65.282,-126.8329,48.24,46,0,13.8,clear sky
99,Constitucion,CL,-35.3333,-72.4167,53.47,68,2,10.02,clear sky
100,Hithadhoo,MV,-0.6,73.0833,85.06,68,100,14.07,overcast clouds
101,Mitu,CO,1.1983,-70.1733,72.27,97,74,1.97,broken clouds
102,Enshi,CN,30.3,109.4833,55.36,94,100,0.27,overcast clouds
103,Roebourne,AU,-20.7833,117.1333,74.98,59,91,11.83,overcast clouds
104,San Fernando,PH,15.0286,120.6898,87.53,71,84,3.31,broken clouds
105,Dunedin,NZ,-45.8742,170.5036,61.81,56,89,6.13,overcast clouds
106,Puerto Penasco,MX,31.3167,-113.5333,77.92,69,90,1.99,overcast clouds
107,Korla,CN,41.7597,86.1469,56.26,30,4,3.8,clear sky
108,Vrede,ZA,-27.4257,29.1659,44.19,85,1,3.83,clear sky
109,Mahibadhoo,MV,3.7833,72.9667,85.14,73,100,16.04,overcast clouds
110,Faya,SA,18.3851,42.4509,64.51,45,44,10.85,scattered clouds
111,Ostrovnoy,RU,68.0531,39.5131,15.49,89,95,9.42,overcast clouds
112,Talnakh,RU,69.4865,88.3972,20.21,96,100,10.96,overcast clouds
113,Mujiayingzi,CN,42.1167,118.7833,45.5,40,95,9.17,overcast clouds
114,Svay Rieng,KH,11.0879,105.7993,79.34,84,100,6.35,overcast clouds
115,Ola,RU,59.5833,151.2833,35.71,63,5,4.14,clear sky
116,Nieuw Amsterdam,SR,5.8833,-55.0833,82.42,80,0,5.75,clear sky
117,Alofi,NU,-19.0595,-169.9187,76.89,94,94,4.61,overcast clouds
118,Kampot,KH,10.6167,104.1833,77.05,83,100,2.71,overcast clouds
119,Seoul,KR,37.5683,126.9778,54.97,67,0,2.3,mist
120,Sao Filipe,CV,14.8961,-24.4956,73.44,72,85,8.1,overcast clouds
121,Strezhevoy,RU,60.7333,77.5889,26.13,76,0,3.44,clear sky
122,Shadegan,IR,30.6497,48.6647,76.95,32,0,5.1,clear sky
123,College,US,64.8569,-147.8028,54.99,29,20,16.11,few clouds
