City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,La Ronge,CA,2022-04-30 16:16:20,55.1001,-105.2842,35.82,86,100,5.75
1,Hailar,CN,2022-04-30 16:16:21,49.2,119.7,34.09,39,11,6.15
2,Clyde River,CA,2022-04-30 16:16:21,70.4692,-68.5914,16.03,79,100,3.44
3,Bredasdorp,ZA,2022-04-30 16:16:21,-34.5322,20.0403,61.0,65,17,7.94
4,Mount Gambier,AU,2022-04-30 16:16:22,-37.8333,140.7667,53.51,94,40,11.5
5,Castro,BR,2022-04-30 16:12:45,-24.7911,-50.0119,64.47,79,97,6.96
6,Mataura,NZ,2022-04-30 16:16:22,-46.1927,168.8643,63.48,86,84,4.25
7,Cabo San Lucas,MX,2022-04-30 16:13:12,22.8909,-109.9124,81.61,52,0,4.61
8,Hithadhoo,MV,2022-04-30 16:16:23,-0.6,73.0833,85.8,68,72,15.37
9,Cape Town,ZA,2022-04-30 16:16:23,-33.9258,18.4232,64.35,68,0,10.36
10,Ushuaia,AR,2022-04-30 16:16:24,-54.8,-68.3,42.42,87,0,4.61
11,Smithers,CA,2022-04-30 16:16:24,54.7804,-127.1743,44.92,57,75,3.44
12,Iqaluit,CA,2022-04-30 16:16:24,63.7506,-68.5145,22.73,73,100,13.8
13,Avarua,CK,2022-04-30 16:16:25,-21.2078,-159.775,77.05,88,40,6.91
14,Nanortalik,GL,2022-04-30 16:16:25,60.1432,-45.2371,38.7,84,76,3.58
15,Severo-Kurilsk,RU,2022-04-30 16:13:15,50.6789,156.125,33.73,83,94,14.72
16,Atuona,PF,2022-04-30 16:13:04,-9.8,-139.0333,78.04,77,46,13.11
17,Kaoma,ZM,2022-04-30 16:16:26,-14.7833,24.8,66.97,63,2,4.16
18,Arraial Do Cabo,BR,2022-04-30 16:16:26,-22.9661,-42.0278,78.76,78,75,9.22
19,Mar Del Plata,AR,2022-04-30 16:16:27,-38.0023,-57.5575,55.87,54,0,8.05
20,Zabid,YE,2022-04-30 16:16:27,14.1951,43.3152,83.64,51,82,19.26
21,Rikitea,PF,2022-04-30 16:13:07,-23.1203,-134.9692,75.78,77,56,13.42
22,Mikhaylovka,RU,2022-04-30 16:12:14,50.06,43.2379,51.78,62,100,2.53
23,Da Nang,VN,2022-04-30 16:14:46,16.0678,108.2208,80.58,89,40,1.14
24,Dzhebariki-Khaya,RU,2022-04-30 16:12:19,62.2167,135.8,20.01,97,29,1.1
25,Tatawin,TN,2022-04-30 16:16:28,32.9297,10.4518,65.35,56,53,34.58
26,Qaanaaq,GL,2022-04-30 16:16:28,77.484,-69.3632,18.86,74,100,7.81
27,New Norfolk,AU,2022-04-30 16:16:29,-42.7826,147.0587,56.7,62,100,9.28
28,Wichita Falls,US,2022-04-30 16:11:35,33.9137,-98.4934,75.25,30,0,21.85
29,Punta Arenas,CL,2022-04-30 16:12:24,-53.15,-70.9167,44.71,65,40,2.3
30,Busselton,AU,2022-04-30 16:16:30,-33.65,115.3333,56.19,83,0,4.79
31,Dhidhdhoo,MV,2022-04-30 16:16:30,6.8833,73.1,86.18,73,100,10.74
32,Rio Grande,BR,2022-04-30 16:15:24,-32.035,-52.0986,69.91,59,13,6.89
33,Hobart,AU,2022-04-30 16:15:03,-42.8794,147.3294,57.06,92,75,9.22
34,Camacha,PT,2022-04-30 16:16:31,33.0833,-16.3333,65.62,68,40,16.11
35,Varkaus,FI,2022-04-30 16:16:31,62.3153,27.873,43.3,77,98,8.95
36,Qandala,SO,2022-04-30 16:16:31,11.472,49.8728,86.9,64,54,4.23
37,Pundaguitan,PH,2022-04-30 16:16:32,6.3711,126.1689,80.78,78,98,7.67
38,Barrow,US,2022-04-30 16:16:32,71.2906,-156.7887,10.42,92,0,6.91
39,Bagua Grande,PE,2022-04-30 16:16:33,-5.7561,-78.4411,77.47,83,100,2.86
40,Khatanga,RU,2022-04-30 16:16:33,71.9667,102.5,9.99,97,60,5.7
41,Biak,ID,2022-04-30 16:16:33,-0.9131,122.8766,76.77,86,100,0.65
42,Pacific Grove,US,2022-04-30 16:14:14,36.6177,-121.9166,59.41,85,40,6.91
43,Nikolskoye,RU,2022-04-30 16:13:34,59.7035,30.7861,44.49,46,94,7.43
44,Magadan,RU,2022-04-30 16:16:34,59.5667,150.8,25.54,75,11,5.79
45,Bulolo,PG,2022-04-30 16:16:34,-7.2,146.65,69.69,96,64,1.72
46,Saint George,US,2022-04-30 16:14:49,37.1041,-113.5841,69.44,19,0,3.44
47,East London,ZA,2022-04-30 16:16:35,-33.0153,27.9116,66.13,66,1,19.95
48,Bom Despacho,BR,2022-04-30 16:16:35,-19.7364,-45.2522,82.02,43,0,3.83
49,Tiksi,RU,2022-04-30 16:16:36,71.6872,128.8694,34.03,81,89,18.63
50,Hermanus,ZA,2022-04-30 16:16:36,-34.4187,19.2345,59.81,80,49,6.44
51,Te Anau,NZ,2022-04-30 16:16:36,-45.4167,167.7167,57.33,74,99,10.18
52,Cassilandia,BR,2022-04-30 16:16:37,-19.1133,-51.7342,87.93,38,24,6.44
53,Salinopolis,BR,2022-04-30 16:16:37,-0.6136,-47.3561,81.54,78,59,7.92
54,Vaini,TO,2022-04-30 16:16:38,-21.2,-175.2,75.36,94,100,8.05
55,Alofi,NU,2022-04-30 16:15:20,-19.0595,-169.9187,75.09,94,98,5.75
56,Ostrovnoy,RU,2022-04-30 16:16:38,68.0531,39.5131,26.44,74,86,10.31
57,Tromso,NO,2022-04-30 16:12:02,69.6496,18.957,36.37,80,75,12.66
58,Mareeba,AU,2022-04-30 16:16:39,-17.0,145.4333,70.52,93,60,1.43
59,Constitucion,CL,2022-04-30 16:16:39,-35.3333,-72.4167,59.32,45,0,9.64
60,Port Alfred,ZA,2022-04-30 16:14:12,-33.5906,26.891,63.18,75,2,5.01
61,Dukat,RU,2022-04-30 16:16:40,62.55,155.55,8.58,99,100,2.01
62,Hanyang,CN,2022-04-30 16:16:40,32.1371,105.5126,53.6,54,100,5.28
63,Souillac,MU,2022-04-30 16:13:17,-20.5167,57.5167,77.38,83,40,5.75
64,Sokoni,TZ,2022-04-30 16:16:40,-6.4333,39.55,81.75,73,81,17.65
65,Bluff,NZ,2022-04-30 16:16:41,-46.6,168.3333,63.81,69,88,21.12
66,Lafiagi,NG,2022-04-30 16:16:41,8.8667,5.4167,102.52,25,49,3.06
67,Dabat,ET,2022-04-30 16:16:42,12.9842,37.765,72.16,18,26,8.61
68,Tamworth,GB,2022-04-30 16:16:42,52.634,-1.6959,61.79,44,100,4.0
69,Cockburn Town,TC,2022-04-30 16:16:28,21.4612,-71.1419,80.56,57,75,18.41
70,Alice Springs,AU,2022-04-30 16:16:42,-23.7,133.8833,60.35,67,7,8.05
71,Kapaa,US,2022-04-30 16:16:43,22.0752,-159.319,73.11,82,40,16.11
72,Mayor Pablo Lagerenza,PY,2022-04-30 16:16:43,-19.9309,-60.7718,84.2,47,59,4.92
73,Neuquen,AR,2022-04-30 16:13:56,-38.9516,-68.0591,55.29,44,0,9.22
74,Cidreira,BR,2022-04-30 16:16:44,-30.1811,-50.2056,66.94,65,59,11.77
75,Williston,US,2022-04-30 16:16:44,48.147,-103.618,52.81,59,100,5.01
76,Radviliskis,LT,2022-04-30 16:16:44,55.8167,23.5333,51.85,37,0,4.61
77,Portland,US,2022-04-30 16:16:45,45.5234,-122.6762,56.08,84,75,5.99
78,Jamestown,US,2022-04-30 16:12:10,42.097,-79.2353,60.03,26,0,6.91
79,Brae,GB,2022-04-30 16:16:45,60.3964,-1.353,46.85,69,100,10.25
80,Meulaboh,ID,2022-04-30 16:16:46,4.1363,96.1285,80.55,81,100,1.68
81,Moree,AU,2022-04-30 16:16:46,-29.4667,149.85,57.22,94,99,8.05
82,Flinders,AU,2022-04-30 16:16:47,-34.5833,150.8552,58.05,74,42,3.0
83,Recodo,PH,2022-04-30 16:16:47,6.9519,121.9636,79.79,87,100,2.1
84,Fukue,JP,2022-04-30 16:16:48,32.6881,128.8419,59.45,69,100,16.11
85,Bichura,RU,2022-04-30 16:16:48,50.5881,107.6022,49.59,69,99,3.83
86,Georgetown,MY,2022-04-30 16:16:48,5.4112,100.3354,84.15,87,20,3.44
87,Iberia,US,2022-04-30 16:16:49,29.9502,-91.7507,83.05,61,20,10.36
